sku,model_code,capacity_class,published_kw,published_btu,kw_times_3412_btu,difference_percent,decision,source_pdf_page,source_printed_page
FBA140BVMA9-RZF140DVM,FBA140BVMA9/RZF140DVM,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,56,110|111
FBA140BVMA9-RZF140DYM,FBA140BVMA9/RZF140DYM,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,56,110|111
FBA50BVMA9-RZA50DV2V,FBA50BVMA9/RZA50DV2V,50,5.0,17100,17060.00,0.2345,CONSISTENT_WITH_CONVERSION,59,116|117
FBA50BVMA9-RZF50DVM,FBA50BVMA9/RZF50DVM,50,5.0,17100,17060.00,0.2345,CONSISTENT_WITH_CONVERSION,56,110|111
FBA60BVMA9-RZA60DV2V,FBA60BVMA9/RZA60DV2V,60,6.0,20500,20472.00,0.1368,CONSISTENT_WITH_CONVERSION,59,116|117
FBA60BVMA9-RZF60DVM,FBA60BVMA9/RZF60DVM,60,6.0,20500,20472.00,0.1368,CONSISTENT_WITH_CONVERSION,56,110|111
FBA71BVMA9-RZA71DV1,FBA71BVMA9/RZA71DV1,71,7.1,24200,24225.20,-0.1040,CONSISTENT_WITH_CONVERSION,59,116|117
FBA71BVMA9-RZF71DVM,FBA71BVMA9/RZF71DVM,71,7.1,24200,24225.20,-0.1040,CONSISTENT_WITH_CONVERSION,56,110|111
FBA71BVMA9-RZF71DYM,FBA71BVMA9/RZF71DYM,71,7.1,24200,24225.20,-0.1040,CONSISTENT_WITH_CONVERSION,56,110|111
FBFC100DVM9-RZFC100EVM,FBFC100DVM9/RZFC100EVM,100,10.0,34100,34120.00,-0.0586,CONSISTENT_WITH_CONVERSION,62,122|123
FBFC100DVM9-RZFC100EY1,FBFC100DVM9/RZFC100EY1,100,10.0,34100,34120.00,-0.0586,CONSISTENT_WITH_CONVERSION,62,122|123
FBFC125DVM9-RZFC125EY1,FBFC125DVM9/RZFC125EY1,125,12.5,42700,42650.00,0.1172,CONSISTENT_WITH_CONVERSION,62,122|123
FBFC140DVM9-RZFC140EY1,FBFC140DVM9/RZFC140EY1,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,62,122|123
FBFC40DVM9-RZFC40EVM,FBFC40DVM9/RZFC40EVM,40,4.0,13600,13648.00,-0.3517,CONSISTENT_WITH_CONVERSION,62,122|123
FBFC50DVM9-RZFC50EVM,FBFC50DVM9/RZFC50EVM,50,5.0,17000,17060.00,-0.3517,CONSISTENT_WITH_CONVERSION,62,122|123
FBFC60DVM9-RZFC60EVM,FBFC60DVM9/RZFC60EVM,60,6.0,20500,20472.00,0.1368,CONSISTENT_WITH_CONVERSION,62,122|123
FBFC71DVM9-RZFC71EVM,FBFC71DVM9/RZFC71EVM,71,7.1,24200,24225.20,-0.1040,CONSISTENT_WITH_CONVERSION,62,122|123
FBFC71DVM9-RZFC71EY1,FBFC71DVM9/RZFC71EY1,71,7.1,24200,24225.20,-0.1040,CONSISTENT_WITH_CONVERSION,62,122|123
FBFC85DVM9-RZFC85EVM,FBFC85DVM9/RZFC85EVM,85,8.5,29000,29002.00,-0.0069,CONSISTENT_WITH_CONVERSION,62,122|123
FBFC85DVM9-RZFC85EY1,FBFC85DVM9/RZFC85EY1,85,8.5,29000,29002.00,-0.0069,CONSISTENT_WITH_CONVERSION,62,122|123
FCC100AV1V-RC100AGY1V,FCC100AV1V/RC100AGY1V,100,10.55,36000,35996.60,0.0094,CONSISTENT_WITH_CONVERSION,64,126|127
FCC125AV1V-RC125AGY1V,FCC125AV1V/RC125AGY1V,125,12.31,42000,42001.72,-0.0041,CONSISTENT_WITH_CONVERSION,64,126|127
FCC140AV1V-RC140AGY1V,FCC140AV1V/RC140AGY1V,,14.07,48000,48006.84,-0.0142,CONSISTENT_WITH_CONVERSION,64,126|127
FCC50AV1V-RC50AGV1V,FCC50AV1V/RC50AGV1V,50,5.42,18500,18493.04,0.0376,CONSISTENT_WITH_CONVERSION,64,126|127
FCC60AV1V-RC60AGV1V,FCC60AV1V/RC60AGV1V,60,7.03,24000,23986.36,0.0569,CONSISTENT_WITH_CONVERSION,64,126|127
FCC85AV1V-RC85AGV1V,FCC85AV1V/RC85AGV1V,85,8.79,30000,29991.48,0.0284,CONSISTENT_WITH_CONVERSION,64,126|127
FCC85AV1V-RC85AGY1V,FCC85AV1V/RC85AGY1V,85,8.79,30000,29991.48,0.0284,CONSISTENT_WITH_CONVERSION,64,126|127
FCF100CVM-RZA100DV1,FCF100CVM/RZA100DV1,100,10.0,34100,34120.00,-0.0586,CONSISTENT_WITH_CONVERSION,59,116|117
FCF100CVM-RZA100DY1,FCF100CVM/RZA100DY1,100,10.0,34100,34120.00,-0.0586,CONSISTENT_WITH_CONVERSION,59,116|117
FCF100CVM-RZF100CVM,FCF100CVM/RZF100CVM,100,10.0,34100,34120.00,-0.0586,CONSISTENT_WITH_CONVERSION,55,108|109
FCF100CVM-RZF100CYM,FCF100CVM/RZF100CYM,100,10.0,34100,34120.00,-0.0586,CONSISTENT_WITH_CONVERSION,55,108|109
FCF100CVM-RZF100DVM,FCF100CVM/RZF100DVM,100,10.0,34100,34120.00,-0.0586,CONSISTENT_WITH_CONVERSION,55,108|109
FCF100CVM-RZF100DYM,FCF100CVM/RZF100DYM,100,10.0,34100,34120.00,-0.0586,CONSISTENT_WITH_CONVERSION,55,108|109
FCF125CVM-RZA125DV1,FCF125CVM/RZA125DV1,125,12.5,42700,42650.00,0.1172,CONSISTENT_WITH_CONVERSION,59,116|117
FCF125CVM-RZA125DY1,FCF125CVM/RZA125DY1,125,12.5,42700,42650.00,0.1172,CONSISTENT_WITH_CONVERSION,59,116|117
FCF125CVM-RZF125CVM,FCF125CVM/RZF125CVM,125,12.5,42700,42650.00,0.1172,CONSISTENT_WITH_CONVERSION,55,108|109
FCF125CVM-RZF125CYM,FCF125CVM/RZF125CYM,125,12.5,42700,42650.00,0.1172,CONSISTENT_WITH_CONVERSION,55,108|109
FCF125DVM-RZF125DVM,FCF125DVM/RZF125DVM,125,12.5,42700,42650.00,0.1172,CONSISTENT_WITH_CONVERSION,55,108|109
FCF125DVM-RZF125DYM,FCF125DVM/RZF125DYM,125,12.5,42700,42650.00,0.1172,CONSISTENT_WITH_CONVERSION,55,108|109
FCF140CVM-RZA140DV1,FCF140CVM/RZA140DV1,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,59,116|117
FCF140CVM-RZA140DY1,FCF140CVM/RZA140DY1,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,59,116|117
FCF140CVM-RZF140CVM,FCF140CVM/RZF140CVM,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,55,108|109
FCF140CVM-RZF140CYM,FCF140CVM/RZF140CYM,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,55,108|109
FCF140DVM-RZF140DVM,FCF140DVM/RZF140DVM,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,55,108|109
FCF140DVM-RZF140DYM,FCF140DVM/RZF140DYM,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,55,108|109
